OID_,LSOA21CD,povertyweight,400tram_ratio,400bus_ratio,metroPointCount,busPoint_Count,Index_of_M_1,IMD_rank,sapelsoapopulationdensity,populationdensity20222024_csv_Mid_2024__Population_1,populationdensity2024,Total_population,F65,M65,NQPDE400,BtE400,TPD400,400tramsum_Area_SQUAREMETERS,Unnamed: 19,access,access_gap,65ratio,olderratio,Cent_norm,popdense_normalised,popdense,400tramsum_Area_SQUAREMETERS_1,400bussum_Area_SQUAREMETERS,vul_str,vul_ser,vul_pop,Vul_sum,Exp_flag,Vul_type
1,E01005536,-0.1,0,0.160391641,0,3,5357,2,0.33,1894,5703,1894,129,85,0.00084159,0.333333284,0.99999994,0,,0.112274149,0.887725851,0.112988384,0.090272439,0.000523642,0.214253188,5739.393939,0,53275.45156,1,1,0,2,0,2
2,E01004934,-0.4,0,0.187461386,0,5,14627,5,1.08,1432,1325,1432,123,119,0.002356013,0.333333313,0.99999994,0,,0.13122297,0.86877703,0.168994413,0.088091079,0.001465924,0.109061931,1325.925926,0,202650.2226,0,1,0,1,0,1
3,E01006321,-0.9,0,0.245354955,0,6,30582,10,0.43,1594,3692,1594,224,180,0.002007858,0.333333284,0.99999994,0,,0.171748469,0.828251532,0.253450439,0.020992071,0.0012493,0.145947177,3706.976744,0,105939.3736,0,1,0,1,0,1
4,E01005202,0,0.109790931,0.237255706,1,21,285,1,0.82,2459,3016,2459,126,80,0.002524954,0.333333343,1,89494.3238,,0.199016274,0.800983727,0.083773892,0.067101524,0.00157104,0.342896175,2998.780488,89494.3238,193395.1994,0,0,0,0,0,0
5,E01005879,-0.4,0,0.199817254,0,3,15170,5,0.22,1302,5953,1302,170,119,0.003330208,0.333333343,1,0,,0.139872078,0.860127922,0.221966206,0.114551599,0.002072074,0.079462659,5918.181818,0,43699.00303,0,1,0,1,0,1
6,E01005393,-0.4,0,0.211786101,0,3,16595,5,0.38,1260,3287,1260,208,162,0.001390548,0.333333284,0.99999994,0,,0.148250271,0.851749729,0.293650794,0.15007019,0.000865207,0.069899818,3315.789474,0,81174.54708,1,1,0,2,0,2
7,E01033218,-0.7,0,0.158731127,0,7,25972,8,0.7,1572,2241,1572,91,73,0.001322528,0.333333254,0.999999881,0,,0.111111789,0.888888211,0.1043257,0.027820165,0.000822884,0.140938069,2245.714286,0,111344.5574,1,1,0,2,0,2
8,E01033670,-0.9,0.076802202,0.376788816,0,5,31930,10,0.25,1391,5507,1391,9,6,0.008769341,1.333333254,0.611111045,19402.15134,,0.286792832,0.713207168,0.010783609,0.000769095,0.005456332,0.099726776,5564,19402.15134,95186.25045,0,0,0,0,0,0
9,E01006191,-0.9,0,0.338044737,0,3,33162,10,0.36,1759,4832,1759,202,169,0.009850543,1.333333254,0.74999994,0,,0.236631316,0.763368684,0.210915293,0.016100613,0.006129062,0.183515483,4886.111111,0,123064.3292,0,1,0,1,0,1
10,E01033654,-0.4,0.499035783,0.603447429,0,12,16419,5,0.28,2509,9025,2509,15,11,0.08897534,28.33333206,1.133310318,138641.5836,,0.572123935,0.427876065,0.010362694,0.002660369,0.055360945,0.35428051,8960.714286,138641.5836,167649.1147,0,0,0,0,0,0
11,E01005583,0,0,0.445717937,0,8,1037,1,0.24,1866,7920,1866,107,102,0.019082172,3.333333254,0.949999988,0,,0.312002556,0.687997444,0.112004287,0.077058663,0.011873032,0.20787796,7775,0,104989.4947,0,1,0,1,0,1
